,team,rival,win,tie,loss,difference,total,metric
1916,Guam,Chinese Taipei,2,0,2,0,4,0.0
1917,Hong Kong,Chinese Taipei,5,4,4,1,13,0.07692307692307690
1918,Kenya,Chinese Taipei,0,0,1,-1,1,-1.0
1919,Laos,Chinese Taipei,1,1,1,0,3,0.0
1920,Chinese Taipei,Malaysia,5,1,3,2,9,0.2222222222222220
1921,Mongolia,Chinese Taipei,2,0,1,1,3,0.3333333333333330
1922,Nepal,Chinese Taipei,0,1,0,0,1,0.0
1923,New Zealand,Chinese Taipei,4,0,1,3,5,0.6
1924,North Korea,Chinese Taipei,2,0,1,1,3,0.3333333333333330
1925,Philippines,Chinese Taipei,3,0,3,0,6,0.0
1926,Singapore,Chinese Taipei,2,2,2,0,6,0.0
1927,Solomon Islands,Chinese Taipei,0,0,1,-1,1,-1.0
1928,Chinese Taipei,Sri Lanka,2,1,0,2,3,0.6666666666666670
1929,Vietnam Republic,Chinese Taipei,1,2,0,1,3,0.3333333333333330
1930,Colombia,Costa Rica,7,0,4,3,11,0.2727272727272730
1931,Colombia,Ecuador,23,11,10,13,44,0.29545454545454500
1932,Egypt,Colombia,0,2,0,0,2,0.0
1933,El Salvador,Colombia,3,1,1,2,5,0.4
1934,Colombia,United Kingdom,0,3,3,-3,6,-0.5
1935,Colombia,France,2,0,2,0,4,0.0
1936,German DR,Colombia,0,0,1,-1,1,-1.0
1937,Germany,Colombia,2,2,0,2,4,0.5
1938,Colombia,Greece,2,0,0,2,2,1.0
1939,Colombia,Guatemala,0,2,0,0,2,0.0
1940,Colombia,Haiti,2,0,2,0,4,0.0
1941,Colombia,Honduras,6,2,2,4,10,0.4
1942,Colombia,Israel,1,1,0,1,2,0.5
1943,Colombia,Ivory Coast,1,0,0,1,1,1.0
1944,Jamaica,Colombia,2,0,3,-1,5,-0.2
1945,Colombia,Japan,0,1,4,-4,5,-0.8
1946,Colombia,Jordan,1,0,0,1,1,1.0
1947,Colombia,Liberia,1,0,0,1,1,1.0
1948,Colombia,Mexico,9,9,7,2,25,0.08
1949,Montenegro,Colombia,1,0,0,1,1,1.0
1950,Morocco,Colombia,1,0,0,1,1,1.0
1951,New Zealand,Colombia,1,0,0,1,1,1.0
1952,Colombia,Nigeria,3,1,0,3,4,0.75
1953,Colombia,Northern Ireland,1,0,0,1,1,1.0
1954,Colombia,Panama,1,0,3,-2,4,-0.5
1955,Colombia,Paraguay,18,7,20,-2,45,-0.044444444444444400
1956,Colombia,Peru,18,19,15,3,52,0.057692307692307700
1957,Poland,Colombia,2,0,4,-2,6,-0.3333333333333330
1958,Colombia,Qatar,1,0,0,1,1,1.0
1959,Colombia,Romania,1,1,1,0,3,0.0
1960,Colombia,Russia,0,2,1,-1,3,-0.3333333333333330
1961,Colombia,Scotland,1,1,0,1,2,0.5
1962,Colombia,Senegal,1,1,1,0,3,0.0
1963,Colombia,Serbia,1,1,0,1,2,0.5
1964,Colombia,Slovakia,1,1,0,1,2,0.5
1965,South Korea,Colombia,5,2,0,5,7,0.7142857142857140
1966,Colombia,Spain,1,2,0,1,3,0.3333333333333330
1967,Colombia,Sweden,0,2,0,0,2,0.0
1968,Colombia,Switzerland,1,1,2,-1,4,-0.25
1969,Colombia,Trinidad and Tobago,3,0,0,3,3,1.0
1970,Tunisia,Colombia,1,1,0,1,2,0.5
1971,Colombia,Turkey,0,0,1,-1,1,-1.0
1972,Colombia,United States,6,4,9,-3,19,-0.15789473684210500
1973,Uruguay,Colombia,18,10,12,6,40,0.15
1974,Venezuela,Colombia,12,14,9,3,35,0.08571428571428570
1975,Colombia,Yugoslavia,1,0,2,-1,3,-0.3333333333333330
1976,Comoros,Ghana,1,1,0,1,2,0.5
1977,Comoros,Kenya,0,2,0,0,2,0.0
1978,Comoros,Lesotho,2,2,1,1,5,0.2
1979,Comoros,Libya,0,1,0,0,1,0.0
1980,Comoros,Madagascar,2,1,2,0,5,0.0
1981,Comoros,Malawi,1,0,2,-1,3,-0.3333333333333330
1982,Mauritius,Comoros,3,2,0,3,5,0.6
1983,Mozambique,Comoros,2,0,3,-1,5,-0.2
1984,Comoros,Namibia,0,1,2,-2,3,-0.6666666666666670
1985,Seychelles,Comoros,0,1,1,-1,2,-0.5
1986,Comoros,Uganda,1,0,1,0,2,0.0
1987,Comoros,Zambia,0,0,1,-1,1,-1.0
1988,Cuba,Congo,1,0,0,1,1,1.0
1989,DR Congo,Congo,18,12,8,10,38,0.2631578947368420
1990,Egypt,Congo,5,0,1,4,6,0.6666666666666670
1991,Equatorial Guinea,Congo,7,2,1,6,10,0.6
1992,Eswatini,Congo,1,0,1,0,2,0.0
1993,Ethiopia,Congo,2,0,2,0,4,0.0
1994,Gabon,Congo,12,7,7,5,26,0.19230769230769200
1995,Gambia,Congo,0,2,0,0,2,0.0
1996,Ghana,Congo,6,2,7,-1,15,-0.06666666666666670
1997,Guadeloupe,Congo,0,1,0,0,1,0.0
1998,Guinea,Congo,1,5,2,-1,8,-0.125
1999,Guinea-Bissau,Congo,1,0,1,0,2,0.0
2000,Haiti,Congo,1,0,0,1,1,1.0
2001,Iraq,Congo,0,0,1,-1,1,-1.0
2002,Ivory Coast,Congo,14,4,6,8,24,0.3333333333333330
2003,Kenya,Congo,2,1,0,2,3,0.6666666666666670
2004,Liberia,Congo,4,0,2,2,6,0.3333333333333330
2005,Libya,Congo,0,2,0,0,2,0.0
2006,Madagascar,Congo,4,0,0,4,4,1.0
2007,Malawi,Congo,1,0,1,0,2,0.0
2008,Mali,Congo,9,5,0,9,14,0.6428571428571430
2009,Mauritius,Congo,1,1,1,0,3,0.0
2010,Moldova,Congo,0,0,1,-1,1,-1.0
2011,Morocco,Congo,2,2,1,1,5,0.2
2012,Mozambique,Congo,1,1,1,0,3,0.0
2013,Namibia,Congo,3,0,1,2,4,0.5
2014,Niger,Congo,2,1,1,1,4,0.25
2015,Nigeria,Congo,3,3,3,0,9,0.0
2016,North Korea,Congo,0,1,0,0,1,0.0
2017,Rwanda,Congo,3,0,0,3,3,1.0
2018,Senegal,Congo,2,1,3,-1,6,-0.16666666666666700
2019,Seychelles,Congo,0,1,0,0,1,0.0
2020,Sierra Leone,Congo,1,1,1,0,3,0.0
2021,South Africa,Congo,3,3,3,0,9,0.0
2022,Sudan,Congo,6,0,2,4,8,0.5
2023,São Tomé and Príncipe,Congo,1,1,2,-1,4,-0.25
2024,Tanzania,Congo,2,0,0,2,2,1.0
2025,Togo,Congo,4,1,2,2,7,0.2857142857142860
2026,Tunisia,Congo,4,2,2,2,8,0.25
2027,Uganda,Congo,5,1,3,2,9,0.2222222222222220
2028,Zambia,Congo,5,4,2,3,11,0.2727272727272730
2029,Zimbabwe,Congo,2,2,0,2,4,0.5
2030,Fiji,Cook Islands,2,0,2,0,4,0.0
2031,Cook Islands,Kiribati,1,0,0,1,1,1.0
2032,New Caledonia,Cook Islands,2,0,1,1,3,0.3333333333333330
2033,Papua New Guinea,Cook Islands,1,0,1,0,2,0.0
2034,Samoa,Cook Islands,4,1,0,4,5,0.8
2035,Solomon Islands,Cook Islands,3,0,1,2,4,0.5
2036,Tahiti,Cook Islands,4,0,3,1,7,0.14285714285714300
2037,Tonga,Cook Islands,3,2,3,0,8,0.0
2038,Cook Islands,Tuvalu,1,0,0,1,1,1.0
2039,Vanuatu,Cook Islands,0,0,1,-1,1,-1.0
2040,Wallis Islands and Futuna,Cook Islands,1,0,0,1,1,1.0
2041,Basque Country,Corsica,0,1,0,0,1,0.0
2042,Brittany,Corsica,1,0,0,1,1,1.0
2043,Bulgaria,Corsica,1,0,0,1,1,1.0
2044,Burkina Faso,Corsica,1,0,0,1,1,1.0
2045,Cameroon,Corsica,0,0,1,-1,1,-1.0
2046,Corsica,Congo,0,1,0,0,1,0.0
2047,Gabon,Corsica,0,1,0,0,1,0.0
2048,Nigeria,Corsica,0,1,0,0,1,0.0
2049,Costa Rica,Aruba,1,0,0,1,1,1.0
2050,Costa Rica,Bermuda,1,0,0,1,1,1.0
2051,Costa Rica,Cameroon,1,0,0,1,1,1.0
2052,Costa Rica,Cuba,8,3,2,6,13,0.46153846153846200
2053,Costa Rica,Curacao,0,1,0,0,1,0.0
2054,Costa Rica,Curaçao,14,3,2,12,19,0.631578947368421
2055,Costa Rica,Ecuador,3,5,3,0,11,0.0
2056,El Salvador,Costa Rica,31,12,10,21,53,0.39622641509434000
2057,Costa Rica,United Kingdom,1,1,0,1,2,0.5
2058,Costa Rica,Finland,1,0,0,1,1,1.0
2059,Costa Rica,French Guiana,1,0,0,1,1,1.0
2060,Costa Rica,Greece,0,1,0,0,1,0.0
2061,Costa Rica,Grenada,1,1,0,1,2,0.5
2062,Costa Rica,Guadeloupe,1,0,1,0,2,0.0
2063,Costa Rica,Guatemala,30,14,11,19,55,0.34545454545454500
2064,Costa Rica,Guyana,1,0,1,0,2,0.0
2065,Costa Rica,Haiti,4,5,2,2,11,0.18181818181818200
2066,Costa Rica,Honduras,23,20,11,12,54,0.2222222222222220
2067,Italy,Costa Rica,0,0,2,-2,2,-1.0
2068,Jamaica,Costa Rica,14,11,2,12,27,0.4444444444444440
2069,Costa Rica,Japan,2,1,1,1,4,0.25
2070,Costa Rica,Martinique,1,0,1,0,2,0.0
2071,Costa Rica,Mexico,23,17,8,15,48,0.3125
2072,New Zealand,Costa Rica,1,0,0,1,1,1.0
2073,Costa Rica,Nicaragua,14,0,2,12,16,0.75
2074,Costa Rica,Northern Ireland,1,0,0,1,1,1.0
2075,Norway,Costa Rica,1,1,0,1,2,0.5
2076,Costa Rica,Panama,24,13,5,19,42,0.4523809523809520
2077,Costa Rica,Paraguay,4,2,1,3,7,0.42857142857142900
2078,Costa Rica,Peru,5,1,2,3,8,0.375
2079,Poland,Costa Rica,0,0,2,-2,2,-1.0
2080,Republic of Ireland,Costa Rica,0,1,0,0,1,0.0
2081,Costa Rica,Russia,0,0,2,-2,2,-1.0
2082,Saudi Arabia,Costa Rica,2,0,2,0,4,0.0
2083,Costa Rica,Scotland,1,0,1,0,2,0.0
2084,Costa Rica,Serbia,0,0,1,-1,1,-1.0
2085,Costa Rica,Slovakia,2,1,0,2,3,0.6666666666666670
2086,South Korea,Costa Rica,5,2,2,3,9,0.3333333333333330
2087,Costa Rica,Spain,2,1,0,2,3,0.6666666666666670
2088,Costa Rica,Suriname,1,0,2,-1,3,-0.3333333333333330
2089,Costa Rica,Sweden,0,0,2,-2,2,-1.0
2090,Costa Rica,Trinidad and Tobago,14,4,5,9,23,0.391304347826087
2091,Costa Rica,Turkey,0,1,0,0,1,0.0
2092,Costa Rica,United States,26,6,5,21,37,0.5675675675675680
2093,Uruguay,Costa Rica,3,3,4,-1,10,-0.1
2094,Venezuela,Costa Rica,3,2,2,1,7,0.14285714285714300
2095,County of Nice,Ellan Vannin,2,1,0,2,3,0.6666666666666670
2096,County of Nice,Padania,0,0,2,-2,2,-1.0
2097,County of Nice,South Ossetia,1,0,0,1,1,1.0
2098,Northern Cyprus,Crimea,1,0,1,0,2,0.0
2099,Cyprus,Croatia,1,0,0,1,1,1.0
2100,Czech Republic,Croatia,1,2,0,1,3,0.3333333333333330
2101,Denmark,Croatia,2,2,2,0,6,0.0
2102,Egypt,Croatia,0,1,0,0,1,0.0
2103,United Kingdom,Croatia,5,2,3,2,10,0.2
2104,Estonia,Croatia,4,2,3,1,9,0.1111111111111110
2105,Croatia,Finland,0,1,1,-1,2,-0.5
2106,France,Croatia,3,2,1,2,6,0.3333333333333330
2107,Georgia,Croatia,2,0,0,2,2,1.0
2108,Germany,Croatia,4,1,2,2,7,0.2857142857142860
2109,Gibraltar,Croatia,1,0,0,1,1,1.0
2110,Greece,Croatia,3,4,1,2,8,0.25
2111,Hungary,Croatia,5,6,1,4,12,0.3333333333333330
2112,Iceland,Croatia,4,1,2,2,7,0.2857142857142860
2113,Indonesia,Croatia,1,0,0,1,1,1.0
2114,Iran,Croatia,1,1,0,1,2,0.5
2115,Israel,Croatia,5,1,3,2,9,0.2222222222222220
2116,Italy,Croatia,1,5,3,-2,9,-0.2222222222222220
2117,Jordan,Croatia,1,0,0,1,1,1.0
2118,Kazakhstan,Croatia,1,0,1,0,2,0.0
2119,Croatia,Kosovo,1,0,1,0,2,0.0
2120,Latvia,Croatia,2,0,2,0,4,0.0
2121,Liechtenstein,Croatia,1,0,1,0,2,0.0
2122,Lithuania,Croatia,1,1,0,1,2,0.5
2123,Mali,Croatia,1,0,0,1,1,1.0
2124,Malta,Croatia,4,1,3,1,8,0.125
2125,Croatia,Mexico,2,0,4,-2,6,-0.3333333333333330
2126,Croatia,Moldova,2,0,0,2,2,1.0
2127,Netherlands,Croatia,0,0,2,-2,2,-1.0
2128,Nigeria,Croatia,1,0,0,1,1,1.0
2129,North Macedonia,Croatia,4,2,2,2,8,0.25
2130,Norway,Croatia,4,1,0,4,5,0.8
2131,Poland,Croatia,2,1,2,0,5,0.0
2132,Portugal,Croatia,1,1,3,-2,5,-0.4
2133,Qatar,Croatia,1,0,0,1,1,1.0
2134,Republic of Ireland,Croatia,3,3,1,2,7,0.2857142857142860
2135,Romania,Croatia,1,1,3,-2,5,-0.4
2136,Russia,Croatia,0,3,1,-1,4,-0.25
2137,San Marino,Croatia,2,0,1,1,3,0.3333333333333330
2138,Scotland,Croatia,1,3,1,0,5,0.0
2139,Senegal,Croatia,1,0,0,1,1,1.0
2140,Croatia,Serbia,2,3,0,2,5,0.4
2141,Slovakia,Croatia,7,2,2,5,11,0.45454545454545500
2142,Croatia,Slovenia,1,3,5,-4,9,-0.4444444444444440
2143,South Korea,Croatia,4,2,1,3,7,0.42857142857142900
2144,Spain,Croatia,5,1,2,3,8,0.375
2145,Croatia,Sweden,1,0,3,-2,4,-0.5
2146,Switzerland,Croatia,2,2,2,0,6,0.0
2147,Tunisia,Croatia,0,0,1,-1,1,-1.0
2148,Turkey,Croatia,1,5,3,-2,9,-0.2222222222222220
2149,Ukraine,Croatia,5,3,1,4,9,0.4444444444444440
2150,United States,Croatia,1,0,0,1,1,1.0
2151,Croatia,Wales,3,2,1,2,6,0.3333333333333330
2152,Bahamas,Cuba,2,0,0,2,2,1.0
2153,Cuba,Basque Country,0,0,2,-2,2,-1.0
2154,Cuba,Cameroon,0,1,0,0,1,0.0
2155,Cuba,Curaçao,4,4,3,1,11,0.09090909090909090
2156,Cuba,Dominica,2,0,0,2,2,1.0
2157,Dominican Republic,Cuba,1,0,4,-3,5,-0.6
2158,El Salvador,Cuba,5,1,1,4,7,0.5714285714285710
2159,Cuba,French Guiana,2,1,0,2,3,0.6666666666666670
2160,Ghana,Cuba,0,1,0,0,1,0.0
2161,Grenada,Cuba,0,3,2,-2,5,-0.4
2162,Cuba,Guadeloupe,1,1,4,-3,6,-0.5
2163,Cuba,Guatemala,5,3,4,1,12,0.08333333333333330
2164,Cuba,Guyana,2,3,2,0,7,0.0
2165,Haiti,Cuba,4,12,14,-10,30,-0.3333333333333330
2166,Cuba,Honduras,6,1,3,3,10,0.3
2167,Indonesia,Cuba,1,0,0,1,1,1.0
2168,Jamaica,Cuba,14,8,7,7,29,0.2413793103448280
2169,Martinique,Cuba,4,4,4,0,12,0.0
2170,Cuba,Mexico,9,0,3,6,12,0.5
2171,Cuba,Nicaragua,5,2,0,5,7,0.7142857142857140
2172,Panama,Cuba,12,9,11,1,32,0.03125
2173,Cuba,Puerto Rico,4,2,0,4,6,0.6666666666666670
2174,Cuba,Romania,1,1,0,1,2,0.5
2175,Cuba,Saint Kitts and Nevis,1,1,1,0,3,0.0
2176,Cuba,Saint Lucia,1,0,0,1,1,1.0
2177,Cuba,Saint Martin,1,0,0,1,1,1.0
2178,Saint Vincent and the Grenadines,Cuba,2,0,0,2,2,1.0
2179,Cuba,Suriname,7,3,1,6,11,0.5454545454545450
2180,Cuba,Sweden,0,0,1,-1,1,-1.0
2181,Cuba,Trinidad and Tobago,11,1,5,6,17,0.35294117647058800
2182,Turks and Caicos Islands,Cuba,2,0,0,2,2,1.0
2183,Cuba,United States,10,1,2,8,13,0.6153846153846150
2184,El Salvador,Curacao,0,0,1,-1,1,-1.0
2185,Grenada,Curacao,1,0,0,1,1,1.0
2186,Guadeloupe,Curacao,1,0,0,1,1,1.0
2187,Haiti,Curacao,1,1,0,1,2,0.5
2188,Curaçao,Bolivia,1,1,0,1,2,0.5
2189,British Virgin Islands,Curaçao,1,0,0,1,1,1.0
2190,Cayman Islands,Curaçao,0,0,1,-1,1,-1.0
2191,Dominican Republic,Curaçao,5,1,1,4,7,0.5714285714285710
2192,El Salvador,Curaçao,8,5,3,5,16,0.3125
2193,Curaçao,French Guiana,2,1,1,1,4,0.25
2194,Grenada,Curaçao,2,3,3,-1,8,-0.125
2195,Curaçao,Guyana,4,1,3,1,8,0.125
2196,Haiti,Curaçao,9,7,7,2,23,0.08695652173913040
2197,Curaçao,Honduras,1,3,5,-4,9,-0.4444444444444440
2198,Jamaica,Curaçao,4,4,7,-3,15,-0.2
2199,Martinique,Curaçao,3,1,2,1,6,0.16666666666666700
2200,Curaçao,Mexico,3,2,2,1,7,0.14285714285714300
2201,Montserrat,Curaçao,1,1,0,1,2,0.5
2202,Netherlands,Curaçao,4,2,0,4,6,0.6666666666666670
2203,Curaçao,Nicaragua,4,1,1,3,6,0.5
2204,Panama,Curaçao,1,1,3,-2,5,-0.4
2205,Puerto Rico,Curaçao,0,2,1,-1,3,-0.3333333333333330
2206,Saint Vincent and the Grenadines,Curaçao,3,2,0,3,5,0.6
2207,Suriname,Curaçao,21,12,9,12,42,0.2857142857142860
2208,Trinidad and Tobago,Curaçao,12,5,3,9,20,0.45
2209,Curaçao,United States,1,1,0,1,2,0.5
2210,Curaçao,United States Virgin Islands,2,0,1,1,3,0.3333333333333330
2211,Venezuela,Curaçao,2,2,1,1,5,0.2
2212,Cyprus,Belarus,1,0,1,0,2,0.0
2213,Cyprus,Canada,0,0,1,-1,1,-1.0
2214,Cyprus,Czech Republic,2,1,2,0,5,0.0
2215,Cyprus,Czechoslovakia,2,1,1,1,4,0.25
2216,Cyprus,Denmark,3,1,2,1,6,0.16666666666666700
2217,Cyprus,United Kingdom,1,0,1,0,2,0.0
2218,Cyprus,Estonia,4,3,1,3,8,0.375
2219,Cyprus,Faroe Islands,1,1,2,-1,4,-0.25
2220,Cyprus,Finland,1,1,2,-1,4,-0.25
2221,Cyprus,France,4,1,3,1,8,0.125
2222,Cyprus,Georgia,4,1,1,3,6,0.5
2223,Cyprus,Germany,3,1,2,1,6,0.16666666666666700
2224,Cyprus,Gibraltar,1,0,1,0,2,0.0
2225,Cyprus,Greece,9,6,12,-3,27,-0.1111111111111110
2226,Cyprus,Hungary,4,0,3,1,7,0.14285714285714300
2227,Cyprus,Iceland,4,3,0,4,7,0.5714285714285710
2228,Cyprus,Iran,0,1,0,0,1,0.0
2229,Cyprus,Iraq,1,0,0,1,1,1.0
2230,Cyprus,Israel,10,3,3,7,16,0.4375
2231,Cyprus,Italy,4,1,3,1,8,0.125
2232,Cyprus,Jordan,3,2,0,3,5,0.6
2233,Cyprus,Kazakhstan,2,1,1,1,4,0.25
2234,Cyprus,Latvia,2,0,0,2,2,1.0
2235,Cyprus,Lebanon,2,0,0,2,2,1.0
2236,Cyprus,Lithuania,2,0,1,1,3,0.3333333333333330
2237,Cyprus,Luxembourg,2,0,1,1,3,0.3333333333333330
2238,Cyprus,Malta,2,2,2,0,6,0.0
2239,Cyprus,Moldova,1,0,0,1,1,1.0
2240,Cyprus,Montenegro,0,3,0,0,3,0.0
2241,Cyprus,Netherlands,5,0,4,1,9,0.1111111111111110
2242,Cyprus,North Macedonia,1,1,0,1,2,0.5
2243,Cyprus,Northern Ireland,3,2,1,2,6,0.3333333333333330
2244,Cyprus,Norway,5,0,6,-1,11,-0.09090909090909090
2245,Cyprus,Poland,1,3,3,-2,7,-0.2857142857142860
2246,Cyprus,Portugal,5,1,5,0,11,0.0
2247,Cyprus,Republic of Ireland,5,1,4,1,10,0.1
2248,Cyprus,Romania,7,3,3,4,13,0.3076923076923080
2249,Cyprus,Russia,4,1,4,0,9,0.0
2250,Cyprus,San Marino,3,0,3,0,6,0.0
2251,Cyprus,Scotland,3,0,3,0,6,0.0
2252,Cyprus,Serbia,1,1,2,-1,4,-0.25
2253,Cyprus,Slovakia,2,0,2,0,4,0.0
2254,Cyprus,Slovenia,5,3,2,3,10,0.3
2255,Cyprus,Spain,5,0,3,2,8,0.25
2256,Cyprus,Sweden,2,1,3,-1,6,-0.16666666666666700
2257,Cyprus,Switzerland,5,2,1,4,8,0.5
2258,Cyprus,Ukraine,2,1,0,2,3,0.6666666666666670
2259,Cyprus,Wales,5,0,2,3,7,0.42857142857142900
2260,Cyprus,Yugoslavia,2,0,2,0,4,0.0
2261,Australia,Czech Republic,1,0,1,0,2,0.0
2262,Canada,Czech Republic,2,0,0,2,2,1.0
2263,Costa Rica,Czech Republic,1,0,0,1,1,1.0
2264,Denmark,Czech Republic,3,6,2,1,11,0.09090909090909090
2265,United Kingdom,Czech Republic,3,1,0,3,4,0.75
2266,Estonia,Czech Republic,2,0,1,1,3,0.3333333333333330
2267,Faroe Islands,Czech Republic,2,0,3,-1,5,-0.2
2268,Czech Republic,Finland,2,1,2,0,5,0.0
2269,France,Czech Republic,0,2,2,-2,4,-0.5
2270,Germany,Czech Republic,3,0,5,-2,8,-0.25
2271,Ghana,Czech Republic,0,0,1,-1,1,-1.0
2272,Greece,Czech Republic,1,2,1,0,4,0.0
2273,Hungary,Czech Republic,1,1,1,0,3,0.0
2274,Iceland,Czech Republic,5,0,1,4,6,0.6666666666666670
2275,Israel,Czech Republic,2,0,0,2,2,1.0
2276,Italy,Czech Republic,3,2,1,2,6,0.3333333333333330
2277,Japan,Czech Republic,0,2,1,-1,3,-0.3333333333333330
2278,Kazakhstan,Czech Republic,1,0,1,0,2,0.0
2279,Latvia,Czech Republic,2,1,1,1,4,0.25
2280,Liechtenstein,Czech Republic,1,0,1,0,2,0.0
2281,Lithuania,Czech Republic,4,0,3,1,7,0.14285714285714300
2282,Luxembourg,Czech Republic,2,0,0,2,2,1.0
2283,Malta,Czech Republic,6,2,2,4,10,0.4
2284,Czech Republic,Moldova,1,0,1,0,2,0.0
2285,Montenegro,Czech Republic,2,0,2,0,4,0.0
2286,Netherlands,Czech Republic,5,3,3,2,11,0.18181818181818200
2287,Nigeria,Czech Republic,2,0,0,2,2,1.0
2288,North Macedonia,Czech Republic,1,1,1,0,3,0.0
2289,Northern Ireland,Czech Republic,2,3,2,0,7,0.0
2290,Norway,Czech Republic,4,3,1,3,8,0.375
2291,Paraguay,Czech Republic,1,0,0,1,1,1.0
2292,Poland,Czech Republic,5,0,3,2,8,0.25
2293,Portugal,Czech Republic,1,0,2,-1,3,-0.3333333333333330
2294,Republic of Ireland,Czech Republic,5,2,1,4,8,0.5
2295,Romania,Czech Republic,3,0,0,3,3,1.0
2296,Russia,Czech Republic,3,1,0,3,4,0.75
2297,San Marino,Czech Republic,3,0,3,0,6,0.0
2298,Saudi Arabia,Czech Republic,1,0,0,1,1,1.0
2299,Scotland,Czech Republic,4,1,2,2,7,0.2857142857142860
2300,Czech Republic,Serbia,3,0,2,1,5,0.2
2301,Slovakia,Czech Republic,7,2,3,4,12,0.3333333333333330
2302,Czech Republic,Slovenia,1,1,3,-2,5,-0.4
2303,South Korea,Czech Republic,2,1,2,0,5,0.0
2304,Spain,Czech Republic,3,1,1,2,5,0.4
2305,Czech Republic,Sweden,1,2,0,1,3,0.3333333333333330
2306,Switzerland,Czech Republic,2,0,2,0,4,0.0
2307,Trinidad and Tobago,Czech Republic,1,0,0,1,1,1.0
2308,Turkey,Czech Republic,4,1,5,-1,10,-0.1
2309,Ukraine,Czech Republic,2,1,1,1,4,0.25
2310,United States,Czech Republic,0,0,3,-3,3,-1.0
2311,Uruguay,Czech Republic,2,0,1,1,3,0.3333333333333330
2312,Czech Republic,Wales,1,4,0,1,5,0.2
2313,Basque Country,Czechoslovakia,2,0,0,2,2,1.0
2314,Costa Rica,Czechoslovakia,1,0,0,1,1,1.0
2315,Denmark,Czechoslovakia,5,5,4,1,14,0.07142857142857140
2316,Egypt,Czechoslovakia,1,0,2,-1,3,-0.3333333333333330
2317,United Kingdom,Czechoslovakia,7,3,3,4,13,0.3076923076923080
2318,Faroe Islands,Czechoslovakia,1,0,0,1,1,1.0
2319,Czechoslovakia,Finland,2,2,2,0,6,0.0
2320,France,Czechoslovakia,7,4,8,-1,19,-0.05263157894736840
2321,German DR,Czechoslovakia,10,2,3,7,15,0.4666666666666670
2322,Germany,Czechoslovakia,8,5,5,3,18,0.16666666666666700
2323,Greece,Czechoslovakia,2,0,3,-1,5,-0.2
2324,Hungary,Czechoslovakia,27,12,6,21,45,0.4666666666666670
2325,Iceland,Czechoslovakia,2,1,2,0,5,0.0
2326,Italy,Czechoslovakia,16,9,1,15,26,0.5769230769230770
2327,Kuwait,Czechoslovakia,0,1,0,0,1,0.0
2328,Latvia,Czechoslovakia,1,0,0,1,1,1.0
2329,Luxembourg,Czechoslovakia,3,1,3,0,7,0.0
2330,Malta,Czechoslovakia,1,1,0,1,2,0.5
2331,Czechoslovakia,Mexico,1,0,1,0,2,0.0
2332,Netherlands,Czechoslovakia,6,1,3,3,10,0.3
2333,Northern Ireland,Czechoslovakia,0,0,2,-2,2,-1.0
2334,Norway,Czechoslovakia,1,0,2,-1,3,-0.3333333333333330
2335,Poland,Czechoslovakia,11,5,3,8,19,0.42105263157894700
2336,Portugal,Czechoslovakia,5,3,1,4,9,0.4444444444444440
2337,Republic of Ireland,Czechoslovakia,6,1,5,1,12,0.08333333333333330
2338,Romania,Czechoslovakia,13,7,7,6,27,0.2222222222222220
2339,Russia,Czechoslovakia,4,4,4,0,12,0.0
2340,Scotland,Czechoslovakia,8,1,0,8,9,0.8888888888888890
2341,Spain,Czechoslovakia,9,1,1,8,11,0.7272727272727270
2342,Czechoslovakia,Sweden,8,4,4,4,16,0.25
2343,Switzerland,Czechoslovakia,14,5,6,8,25,0.32
2344,Turkey,Czechoslovakia,5,2,2,3,9,0.3333333333333330
2345,Uruguay,Czechoslovakia,2,0,1,1,3,0.3333333333333330
2346,Czechoslovakia,Wales,8,1,1,7,10,0.7
2347,Czechoslovakia,Yugoslavia,18,4,7,11,29,0.3793103448275860
2348,DR Congo,Brazil,0,0,1,-1,1,-1.0
2349,DR Congo,Djibouti,2,1,1,1,4,0.25
2350,Egypt,DR Congo,7,3,3,4,13,0.3076923076923080
2351,DR Congo,Equatorial Guinea,2,1,0,2,3,0.6666666666666670
2352,DR Congo,Eswatini,4,1,1,3,6,0.5
2353,DR Congo,Ethiopia,4,0,2,2,6,0.3333333333333330
2354,DR Congo,Gabon,5,7,4,1,16,0.0625
2355,DR Congo,Ghana,9,5,8,1,22,0.045454545454545500
2356,DR Congo,Guinea,7,2,3,4,12,0.3333333333333330
2357,DR Congo,Ivory Coast,7,4,8,-1,19,-0.05263157894736840
2358,DR Congo,Kenya,5,3,6,-1,14,-0.07142857142857140
2359,DR Congo,Lesotho,2,4,1,1,7,0.14285714285714300
2360,DR Congo,Liberia,4,1,2,2,7,0.2857142857142860
2361,DR Congo,Libya,4,4,2,2,10,0.2
2362,DR Congo,Madagascar,6,3,1,5,10,0.5
2363,DR Congo,Malawi,4,3,3,1,10,0.1
2364,DR Congo,Mali,3,2,2,1,7,0.14285714285714300
2365,DR Congo,Mauritania,1,0,0,1,1,1.0
2366,Mauritius,DR Congo,2,0,3,-1,5,-0.2
2367,Morocco,DR Congo,6,6,0,6,12,0.5
2368,Mozambique,DR Congo,4,2,1,3,7,0.42857142857142900
2369,DR Congo,Namibia,2,1,0,2,3,0.6666666666666670
2370,DR Congo,Nigeria,6,1,2,4,9,0.4444444444444440
